,,,,,,,,
,,Date | Hour Block,Purchase Bid (MWh),Sell Bid (MWh),MCV (MWh),Final Scheduled Volume (MWh),MCP (Rs/MWh) *,Weighted MCP (Rs/MWh)
,,06 - 07,12737.75,13204.58,9390.07,9390.07,4162.10,4161.79
,,07 - 08,12620.08,16010.58,9369.90,9369.90,3650.02,3669.80
,,08 - 09,8571.40,17432.73,6543.75,6543.75,2922.97,2928.02
,,09 - 10,7791.35,18426.85,6142.25,6155.30,2638.23,2637.77
,,10 - 11,7723.45,18676.00,5987.38,5987.38,2499.27,2499.27
,,11 - 12,6828.65,17917.30,5331.18,5331.18,1845.10,1848.01
,,12 - 13,6360.03,17554.95,4954.90,4954.90,1781.97,1782.17
,,13 - 14,6685.55,17948.55,5164.70,5164.70,1907.20,1908.31
,,14 - 15,8496.08,17417.75,6432.70,6432.73,2850.65,2854.76
,,15 - 16,10218.93,16259.68,7419.50,7419.50,3083.29,3086.25
,,16 - 17,11079.18,14779.03,7742.53,7742.53,3443.68,3450.28
,,17 - 18,11611.65,13091.90,7394.13,7394.11,3858.49,3863.61
,,18 - 19,11512.63,9973.90,7509.60,7488.90,4838.85,4846.77
,,19 - 20,13720.85,8287.75,8074.75,8027.75,10000.00,10000.00
,,20 - 21,12106.30,8832.35,8219.53,8192.66,9646.90,9650.65
,,21 - 22,10423.35,8289.85,6912.40,7114.62,6695.16,6723.92
,,22 - 23,10251.25,9346.48,6919.15,6865.98,4927.37,4930.64
,,23 - 24,9415.55,9059.55,6357.03,6345.93,4282.44,4287.84
,23-09-2024,00 - 01,11043.33,8142.95,7168.88,7085.10,5844.69,5888.68
,,01 - 02,10156.53,8881.00,6661.30,6652.53,4236.03,4237.44
,,02 - 03,9612.80,9820.78,6208.95,6235.84,4007.49,4008.17
,,03 - 04,9009.23,10396.43,5768.20,6158.75,3678.99,3678.80
,,04 - 05,9315.53,10318.20,5970.65,6058.15,3906.74,3912.74
,,05 - 06,10105.73,10940.65,6589.13,6589.13,3967.37,3975.13
,,06 - 07,12828.40,13257.45,9446.20,9446.20,4083.39,4080.68
,,07 - 08,13800.20,16467.28,10180.68,10180.68,3791.42,3801.36
,,08 - 09,11348.35,19376.85,8201.43,8201.43,3199.03,3203.76
,,09 - 10,10963.93,21226.88,8211.08,8197.93,3142.64,3142.76
,,10 - 11,10423.85,22246.03,7460.33,7421.34,2877.70,2877.52
,,11 - 12,9810.83,22280.60,6946.15,6946.15,2748.43,2749.10
,,12 - 13,8518.93,21747.08,6495.35,6495.35,2185.92,2188.87
,,13 - 14,8725.93,22091.68,6457.93,6456.83,2415.33,2423.38
,,14 - 15,11517.15,19872.58,7608.68,7619.63,3584.35,3594.47
,,15 - 16,13797.58,16320.43,9388.15,9380.73,3936.11,3938.52
,,,,,,,,
,,Date | Hour Block,Purchase Bid (MWh),Sell Bid (MWh),MCV (MWh),Final Scheduled Volume (MWh),MCP (Rs/MWh) *,Weighted MCP (Rs/MWh)
,23-09-2024,16 - 17,15710.33,13362.13,10462.75,10462.75,4290.17,4299.95
,,17 - 18,15963.48,9461.28,8629.83,8629.83,5868.22,5782.43
,,18 - 19,15550.90,6993.28,6832.88,6832.88,9522.59,9506.46
,,19 - 20,18467.95,4921.05,4921.05,4921.05,10000.00,10000.00
,,20 - 21,16115.75,5327.83,5327.82,5327.82,10000.00,10000.00
,,21 - 22,14020.30,4524.58,4524.57,4524.57,10000.00,10000.00
,,22 - 23,13199.55,4913.15,4913.15,4913.14,10000.00,10000.00
,,23 - 24,12531.35,4787.58,4787.57,4759.75,10000.00,10000.00
,24-09-2024,00 - 01,13166.63,6752.93,6565.27,6528.93,9231.46,9278.89
,,01 - 02,11586.45,7360.00,6466.73,6437.83,5400.58,5400.58
,,02 - 03,10716.35,7985.55,6883.35,6414.33,5400.11,5400.11
,,03 - 04,10387.18,8182.38,7059.18,5873.33,4700.12,4713.14
,,04 - 05,9763.05,8184.90,6512.65,5813.40,4284.34,4285.20
,,05 - 06,9980.65,8695.65,6736.10,6736.10,4340.29,4360.95
,,06 - 07,13191.03,10227.60,8965.33,8952.83,5200.11,5200.11
,,07 - 08,13630.10,13224.23,10044.75,10045.55,4272.09,4303.92
,,08 - 09,11091.90,15917.28,7894.45,7879.67,3550.33,3553.95
,,09 - 10,10114.60,16156.85,7223.73,7256.67,3430.74,3431.22
,,10 - 11,9986.90,18049.33,6796.67,6361.85,3010.69,3010.51
,,11 - 12,9593.13,18984.93,6402.44,5827.87,3001.92,3002.99
,,12 - 13,8517.33,18093.15,5418.38,5156.44,2814.40,2812.80
,,13 - 14,8700.40,18521.80,5863.10,5383.11,2699.00,2707.23
,,14 - 15,11340.23,16303.03,7250.04,7055.80,3587.01,3594.77
,,15 - 16,13072.78,13074.60,8266.22,8077.78,4031.47,4032.17
,,16 - 17,14942.85,11534.73,9714.77,9700.64,4795.07,4820.00
,,17 - 18,15842.70,9466.18,9088.70,9089.13,7512.86,7408.48
,,18 - 19,14418.93,6081.90,6027.90,6027.90,10000.00,10000.00
,,19 - 20,17130.13,4118.98,4118.97,4118.97,10000.00,10000.00
,,20 - 21,14643.38,4440.35,4440.35,4440.34,10000.00,10000.00
,,21 - 22,13927.95,3835.30,3835.29,3835.29,10000.00,10000.00
,,22 - 23,13258.03,4187.50,4187.50,4187.49,10000.00,10000.00
,,23 - 24,13010.40,3808.95,3808.95,3808.95,10000.00,10000.00
,25-09-2024,00 - 01,12804.83,6460.83,6432.82,6432.82,10000.00,10000.00
,,01 - 02,11312.43,7180.05,6635.88,6635.88,7040.22,7032.88
,,02 - 03,10905.38,7909.45,6855.75,6855.75,5399.58,5400.85
,,03 - 04,10640.58,8070.80,6696.53,6696.53,4758.45,4765.89
,,04 - 05,10323.35,8128.88,6612.38,6612.38,4431.67,4432.91
,,05 - 06,10897.25,8663.10,7177.53,7177.53,4519.02,4547.72
,,06 - 07,14633.03,10755.48,10125.43,10125.43,5690.94,5689.78
,,07 - 08,15213.53,15065.38,11692.78,11692.78,4234.05,4248.01
,,08 - 09,13288.08,16887.25,9338.56,9338.56,3659.32,3660.73
,,09 - 10,11118.23,15305.38,7601.45,7601.45,3670.82,3670.31
,,10 - 11,10054.25,15833.70,6627.59,6627.59,3401.21,3404.59
,,11 - 12,9160.15,15808.20,6350.93,6350.93,3175.04,3174.71
,,12 - 13,9488.48,16907.93,6367.86,6367.86,3524.63,3524.36
,,13 - 14,9715.83,17585.35,6725.28,6725.28,3529.50,3537.74
,,14 - 15,13089.90,15328.08,8722.80,8722.80,3775.11,3778.46
,,15 - 16,14690.43,14430.40,9494.53,9494.53,4085.42,4087.06
,,16 - 17,16317.68,13971.73,10800.70,10800.70,4268.45,4284.53
,,17 - 18,16074.15,10091.83,9382.07,9382.07,7406.13,7035.32
,,18 - 19,14349.93,5757.18,5757.16,5757.16,10000.00,10000.00
,,19 - 20,14856.28,3852.13,3852.12,3852.12,10000.00,10000.00
,,20 - 21,13164.15,4192.28,4192.27,4192.27,10000.00,10000.00
,,21 - 22,12480.70,3969.10,3969.09,3969.09,10000.00,10000.00
,,22 - 23,10826.00,4176.28,4176.27,4176.27,10000.00,10000.00
,,23 - 24,10966.93,4226.78,4226.77,4226.77,10000.00,10000.00
